Skagit County, Washington, Average Temperature
199405,51.4,1.2
199406,53.4,-1.3
199407,61.8,1.1
199408,61.3,0.0
199409,58.1,1.9
199410,46.1,-0.5
199411,33.5,-4.9
199412,33.3,0.0
199501,35.1,0.8
199502,37.8,2.2
199503,39.3,0.3
199504,44.2,-0.1
199505,52.4,2.2
199506,55.8,1.1
199507,60.9,0.2
199508,56.3,-5.0
199509,59.3,3.1
199510,45.0,-1.6
199511,40.7,2.3
199512,34.5,1.2
199601,31.8,-2.5
199602,35.6,0.0
199603,39.2,0.2
199604,45.0,0.7
199605,45.8,-4.4
199606,53.6,-1.1
199607,61.6,0.9
199608,61.0,-0.3
199609,52.8,-3.4
199610,44.9,-1.7
199611,36.1,-2.3
199612,29.7,-3.6
199701,33.2,-1.1
199702,35.8,0.2
199703,37.4,-1.6
199704,43.0,-1.3
199705,51.6,1.4
199706,53.4,-1.3
199707,58.8,-1.9
199708,63.0,1.7
199709,57.2,1.0
199710,45.5,-1.1
199711,41.6,3.2
199712,35.3,2.0
199801,33.6,-0.7
199802,38.7,3.1
199803,40.3,1.3
199804,44.8,0.5
199805,50.7,0.5
199806,55.8,1.1
199807,63.4,2.7
199808,62.7,1.4
199809,59.0,2.8
199810,47.4,0.8
199811,39.8,1.4
199812,32.0,-1.3
199901,35.5,1.2
199902,34.7,-0.9
199903,37.3,-1.7
199904,42.7,-1.6
199905,45.8,-4.4
199906,51.7,-3.0
199907,58.0,-2.7
199908,61.0,-0.3
199909,55.5,-0.7
199910,46.2,-0.4
199911,40.7,2.3
199912,35.4,2.1
200001,32.9,-1.4
200002,37.0,1.4
200003,38.6,-0.4
200004,46.1,1.8
200005,48.2,-2.0
200006,54.9,0.2
200007,59.1,-1.6
200008,59.0,-2.3
200009,54.9,-1.3
200010,46.8,0.2
200011,36.2,-2.2
200012,33.0,-0.3
200101,35.8,1.5
200102,34.6,-1.0
200103,39.7,0.7
200104,42.6,-1.7
200105,49.1,-1.1
200106,52.3,-2.4
200107,58.5,-2.2
200108,61.1,-0.2
200109,56.0,-0.2
200110,44.4,-2.2
200111,40.0,1.6
200112,33.5,0.2
200201,34.1,-0.2
200202,35.0,-0.6
200203,34.3,-4.7
200204,42.8,-1.5
200205,46.9,-3.3
200206,55.6,0.9
200207,60.2,-0.5
200208,60.5,-0.8
200209,55.0,-1.2
200210,46.1,-0.5
200211,41.6,3.2
200212,36.1,2.8
200301,38.5,4.2
200302,36.9,1.3
200303,39.2,0.2
200304,43.6,-0.7
200305,48.9,-1.3
200306,57.1,2.4
200307,62.7,2.0
200308,62.1,0.8
200309,57.5,1.3
200310,49.3,2.7
200311,35.2,-3.2
200312,34.3,1.0
200401,33.1,-1.2
200402,37.9,2.3
200403,41.4,2.4
200404,48.2,3.9
200405,51.0,0.8
200406,57.2,2.5
200407,63.1,2.4
200408,63.3,2.0
200409,53.4,-2.8
200410,47.6,1.0
200411,39.3,0.9
200412,36.7,3.4
200501,34.6,0.3
200502,37.6,2.0
200503,42.3,3.3
200504,45.6,1.3
200505,53.2,3.0
200506,53.7,-1.0
200507,60.3,-0.4
200508,62.2,0.9
200509,53.9,-2.3
200510,47.9,1.3
200511,37.2,-1.2
200512,34.7,1.4
200601,37.4,3.1
200602,34.5,-1.1
200603,38.5,-0.5
200604,44.2,-0.1
200605,49.8,-0.4
200606,56.3,1.6
200607,61.9,1.2
200608,60.3,-1.0
200609,56.6,0.4
200610,46.5,-0.1
200611,36.7,-1.7
200612,34.1,0.8
200701,32.3,-2.0
200702,37.2,1.6
200703,39.8,0.8
200704,43.3,-1.0
200705,49.8,-0.4
200706,53.3,-1.4
200707,61.9,1.2
200708,59.2,-2.1
200709,54.1,-2.1
200710,44.6,-2.0
200711,37.5,-0.9
200712,32.9,-0.4
200801,31.2,-3.1
200802,36.1,0.5
200803,36.4,-2.6
200804,39.7,-4.6
200805,49.6,-0.6
200806,51.6,-3.1
200807,59.0,-1.7
200808,60.0,-1.3
200809,55.2,-1.0
200810,45.6,-1.0
200811,41.6,3.2
200812,29.5,-3.8
200901,32.4,-1.9
200902,35.0,-0.6
200903,34.2,-4.8
200904,43.2,-1.1
200905,49.4,-0.8
200906,57.0,2.3
200907,63.5,2.8
200908,61.2,-0.1
200909,57.8,1.6
200910,44.9,-1.7
200911,39.0,0.6
200912,30.2,-3.1
201001,38.8,4.5
201002,39.6,4.0
201003,40.7,1.7
201004,43.5,-0.8
201005,47.2,-3.0
201006,52.9,-1.8
201007,60.5,-0.2
201008,60.5,-0.8
201009,55.4,-0.8
201010,48.2,1.6
201011,35.7,-2.7
201012,34.6,1.3
201101,34.3,0.0
201102,32.5,-3.1
201103,37.4,-1.6
201104,39.0,-5.3
201105,46.2,-4.0
201106,52.6,-2.1
201107,56.7,-4.0
201108,60.2,-1.1
201109,58.2,2.0
201110,46.0,-0.6
201111,35.6,-2.8
201112,33.4,0.1
201201,32.9,-1.4
201202,36.2,0.6
201203,35.8,-3.2
201204,44.4,0.1
201205,48.3,-1.9
201206,50.8,-3.9
201207,59.7,-1.0
201208,62.6,1.3
201209,57.5,1.3
201210,46.5,-0.1
201211,39.2,0.8
201212,33.4,0.1
201301,32.3,-2.0
201302,36.2,0.6
201303,39.2,0.2
201304,43.1,-1.2
201305,50.9,0.7
201306,55.3,0.6
201307,62.2,1.5
201308,62.3,1.0
201309,57.1,0.9
201310,46.1,-0.5
201311,38.1,-0.3
201312,31.2,-2.1
201401,36.4,2.1
201402,31.5,-4.1
201403,38.7,-0.3
201404,43.9,-0.4
201405,51.8,1.6
201406,54.4,-0.3
201407,62.6,1.9
201408,63.5,2.2
201409,57.8,1.6
201410,50.9,4.3
201411,38.1,-0.3
201412,35.9,2.6
201501,37.9,3.6
201502,41.4,5.8
201503,43.8,4.8
201504,44.4,0.1
201505,53.7,3.5
201506,60.5,5.8
201507,64.3,3.6
201508,62.8,1.5
201509,53.8,-2.4
201510,50.7,4.1
201511,36.5,-1.9
201512,34.2,0.9
201601,34.6,0.3
201602,40.1,4.5
201603,41.4,2.4
201604,49.6,5.3
201605,52.4,2.2
201606,55.9,1.2
201607,59.6,-1.1
201608,62.7,1.4
201609,54.7,-1.5
201610,46.8,0.2
201611,42.8,4.4
201612,28.8,-4.5
201701,28.9,-5.4
201702,33.4,-2.2
201703,37.7,-1.3
201704,43.5,-0.8
201705,50.9,0.7
201706,55.4,0.7
201707,61.3,0.6
201708,64.1,2.8
201709,58.2,2.0
201710,45.4,-1.2
201711,38.4,0.0
201712,32.6,-0.7
201801,36.7,2.4
201802,32.5,-3.1
201803,38.1,-0.9
201804,44.2,-0.1
201805,54.2,4.0
201806,54.6,-0.1
201807,63.5,2.8
201808,62.5,1.2
201809,54.6,-1.6
201810,46.9,0.3
201811,40.2,1.8
201812,34.2,0.9
201901,36.6,2.3
201902,27.9,-7.7
201903,39.4,0.4
201904,44.2,-0.1
201905,53.0,2.8
201906,55.9,1.2
201907,60.0,-0.7
201908,62.6,1.3
201909,55.9,-0.3
201910,43.1,-3.5
201911,38.7,0.3
201912,35.4,2.1
