Okanogan County, Washington, Average Temperature
199410,43.0,0.3
199411,25.6,-5.7
199412,23.8,0.0
199501,25.0,0.2
199502,31.0,3.5
199503,33.4,-0.9
199504,40.7,-1.0
199505,52.2,2.2
199506,55.8,-0.1
199507,62.6,-1.3
199508,57.1,-6.4
199509,58.5,2.9
199510,41.0,-1.7
199511,32.6,1.3
199512,24.4,0.6
199601,19.8,-5.0
199602,24.4,-3.1
199603,32.7,-1.6
199604,41.4,-0.3
199605,45.0,-5.0
199606,54.3,-1.6
199607,64.5,0.6
199608,63.2,-0.3
199609,51.8,-3.8
199610,40.5,-2.2
199611,28.4,-2.9
199612,18.2,-5.6
199701,22.7,-2.1
199702,26.4,-1.1
199703,31.9,-2.4
199704,39.2,-2.5
199705,50.8,0.8
199706,53.6,-2.3
199707,60.5,-3.4
199708,63.8,0.3
199709,55.5,-0.1
199710,41.3,-1.4
199711,33.7,2.4
199712,26.4,2.6
199801,23.8,-1.0
199802,31.6,4.1
199803,35.9,1.6
199804,42.6,0.9
199805,51.9,1.9
199806,56.3,0.4
199807,67.7,3.8
199808,65.9,2.4
199809,60.9,5.3
199810,43.2,0.5
199811,34.5,3.2
199812,23.2,-0.6
199901,27.9,3.1
199902,28.3,0.8
199903,33.1,-1.2
199904,40.2,-1.5
199905,45.3,-4.7
199906,53.4,-2.5
199907,59.8,-4.1
199908,64.3,0.8
199909,53.8,-1.8
199910,42.1,-0.6
199911,35.8,4.5
199912,29.6,5.8
200001,23.7,-1.1
200002,28.4,0.9
200003,34.8,0.5
200004,44.2,2.5
200005,47.5,-2.5
200006,55.6,-0.3
200007,61.5,-2.4
200008,62.1,-1.4
200009,52.9,-2.7
200010,42.7,0.0
200011,27.4,-3.9
200012,21.5,-2.3
200101,26.1,1.3
200102,25.5,-2.0
200103,35.0,0.7
200104,39.8,-1.9
200105,50.5,0.5
200106,53.2,-2.7
200107,62.6,-1.3
200108,64.9,1.4
200109,57.6,2.0
200110,40.7,-2.0
200111,34.7,3.4
200112,25.9,2.1
200201,27.0,2.2
200202,28.4,0.9
200203,29.3,-5.0
200204,41.2,-0.5
200205,46.7,-3.3
200206,57.7,1.8
200207,65.1,1.2
200208,62.3,-1.2
200209,54.6,-1.0
200210,42.1,-0.6
200211,34.3,3.0
200212,28.6,4.8
200301,28.9,4.1
200302,29.7,2.2
200303,35.3,1.0
200304,40.9,-0.8
200305,47.8,-2.2
200306,58.7,2.8
200307,66.4,2.5
200308,64.8,1.3
200309,57.1,1.5
200310,46.5,3.8
200311,26.5,-4.8
200312,24.0,0.2
200401,23.7,-1.1
200402,28.8,1.3
200403,38.0,3.7
200404,45.3,3.6
200405,49.1,-0.9
200406,58.5,2.6
200407,65.6,1.7
200408,65.3,1.8
200409,52.7,-2.9
200410,44.3,1.6
200411,33.1,1.8
200412,28.2,4.4
200501,23.2,-1.6
200502,30.4,2.9
200503,37.6,3.3
200504,42.8,1.1
200505,51.8,1.8
200506,54.0,-1.9
200507,62.7,-1.2
200508,64.1,0.6
200509,52.9,-2.7
200510,43.9,1.2
200511,29.5,-1.8
200512,22.4,-1.4
200601,29.1,4.3
200602,26.3,-1.2
200603,33.5,-0.8
200604,42.2,0.5
200605,50.1,0.1
200606,57.4,1.5
200607,66.7,2.8
200608,62.6,-0.9
200609,56.7,1.1
200610,43.7,1.0
200611,28.3,-3.0
200612,22.7,-1.1
200701,21.9,-2.9
200702,29.6,2.1
200703,36.1,1.8
200704,41.1,-0.6
200705,50.6,0.6
200706,54.7,-1.2
200707,67.2,3.3
200708,61.6,-1.9
200709,54.0,-1.6
200710,41.0,-1.7
200711,30.2,-1.1
200712,22.3,-1.5
200801,19.4,-5.4
200802,28.8,1.3
200803,32.2,-2.1
200804,37.0,-4.7
200805,51.2,1.2
200806,54.6,-1.3
200807,63.4,-0.5
200808,62.2,-1.3
200809,55.0,-0.6
200810,42.7,0.0
200811,33.7,2.4
200812,18.1,-5.7
200901,21.9,-2.9
200902,25.5,-2.0
200903,29.7,-4.6
200904,40.5,-1.2
200905,49.5,-0.5
200906,57.8,1.9
200907,66.1,2.2
200908,64.4,0.9
200909,57.6,2.0
200910,39.0,-3.7
200911,32.4,1.1
200912,19.9,-3.9
201001,29.1,4.3
201002,32.4,4.9
201003,36.4,2.1
201004,40.9,-0.8
201005,45.5,-4.5
201006,53.5,-2.4
201007,63.0,-0.9
201008,61.3,-2.2
201009,53.2,-2.4
201010,44.9,2.2
201011,28.1,-3.2
201012,24.8,1.0
201101,25.3,0.5
201102,23.8,-3.7
201103,33.0,-1.3
201104,36.2,-5.5
201105,46.0,-4.0
201106,53.0,-2.9
201107,58.8,-5.1
201108,63.8,0.3
201109,58.7,3.1
201110,42.2,-0.5
201111,28.9,-2.4
201112,25.1,1.3
201201,22.4,-2.4
201202,27.8,0.3
201203,32.1,-2.2
201204,42.1,0.4
201205,47.8,-2.2
201206,52.0,-3.9
201207,64.2,0.3
201208,65.1,1.6
201209,58.2,2.6
201210,43.0,0.3
201211,32.7,1.4
201212,25.4,1.6
201301,22.5,-2.3
201302,29.2,1.7
201303,35.2,0.9
201304,40.8,-0.9
201305,50.6,0.6
201306,55.3,-0.6
201307,66.0,2.1
201308,63.6,0.1
201309,56.4,0.8
201310,42.6,-0.1
201311,30.9,-0.4
201312,21.2,-2.6
201401,28.8,4.0
201402,22.0,-5.5
201403,33.8,-0.5
201404,41.6,-0.1
201405,51.1,1.1
201406,55.9,0.0
201407,67.7,3.8
201408,65.4,1.9
201409,56.3,0.7
201410,46.8,4.1
201411,29.8,-1.5
201412,26.9,3.1
201501,28.3,3.5
201502,34.6,7.1
201503,40.3,6.0
201504,42.0,0.3
201505,53.4,3.4
201506,63.7,7.8
201507,67.1,3.2
201508,64.6,1.1
201509,53.1,-2.5
201510,48.0,5.3
201511,30.2,-1.1
201512,24.0,0.2
201601,26.3,1.5
201602,31.6,4.1
201603,36.9,2.6
201604,48.6,6.9
201605,52.6,2.6
201606,57.4,1.5
201607,61.5,-2.4
201608,64.2,0.7
201609,53.6,-2.0
201610,42.0,-0.7
201611,37.7,6.4
201612,18.4,-5.4
201701,18.4,-6.4
201702,23.6,-3.9
201703,33.2,-1.1
201704,39.9,-1.8
201705,50.6,0.6
201706,56.9,1.0
201707,66.8,2.9
201708,67.4,3.9
201709,56.7,1.1
201710,41.5,-1.2
201711,31.3,0.0
201712,22.3,-1.5
201801,27.9,3.1
201802,25.0,-2.5
201803,33.4,-0.9
201804,40.9,-0.8
201805,55.9,5.9
201806,55.4,-0.5
201807,66.1,2.2
201808,64.2,0.7
201809,53.0,-2.6
201810,43.4,0.7
201811,33.0,1.7
201812,26.4,2.6
201901,27.8,3.0
201902,17.8,-9.7
201903,32.0,-2.3
201904,42.0,0.3
201905,53.1,3.1
201906,57.3,1.4
201907,62.0,-1.9
201908,64.9,1.4
201909,53.4,-2.2
201910,38.2,-4.5
201911,32.7,1.4
201912,26.4,2.6
